date, pm25, pm10, o3, no2, so2, co
2024/4/17, 20, 10, 33, 10, , 
2024/4/18, 27, 13, 29, 9, , 
2024/4/19, 23, 17, 31, 10, , 
2024/4/20, 32, 13, 33, 9, , 
2024/4/21, 29, 14, 32, 11, , 
2024/4/22, 36, 17, 38, 12, , 
2024/4/23, 37, 14, 32, 10, , 
2024/4/24, 26, 15, 37, 9, , 
2024/4/25, 35, 19, 34, 13, , 
2024/4/26, 36, 9, 26, 9, , 
2024/4/27, 17, 6, 36, 4, , 
2024/4/28, 11, 11, 34, 11, , 
2024/4/29, 20, 13, 32, 9, , 
2024/4/30, 25, 18, 34, 7, , 
2024/5/1, 40, 7, 28, 7, , 
2024/5/2, 14, 9, 36, 5, , 
2024/5/3, 12, 8, 32, 9, , 
2024/5/4, 13, 6, 27, 7, , 
2024/5/5, 11, 9, 37, 5, , 
2024/5/6, 14, 18, 33, 13, , 
2024/5/7, 38, 15, 28, 7, , 
2024/5/8, 42, 21, 38, 11, , 
2024/5/9, 56, 22, 45, 12, , 
2024/5/10, 46, 23, 50, 11, , 
2024/5/11, 47, 20, 41, 14, , 
2024/5/12, 39, 14, 36, 5, , 
2024/5/13, 27, 9, 24, 7, , 
2024/5/14, 18, 12, 31, 5, , 
2024/5/15, 12, 9, 32, 4, , 
2024/5/16, 11, 11, 31, 14, , 
2024/5/17, 18, 11, 32, 11, , 
2024/5/18, 21, 17, 38, 8, , 
2024/5/19, 37, 22, 41, 9, , 
2024/5/20, 46, 15, 30, 8, , 
2024/5/21, 27, 16, 37, 5, , 
2024/5/22, 34, 9, 35, 6, , 
2024/5/23, 15, 11, 30, 6, , 
2024/5/24, 14, 13, 38, 6, , 
2024/5/25, 26, 8, 31, 4, , 
2024/5/26, 8, 9, 33, 5, , 
2024/5/27, 13, 9, 26, 6, , 
2024/5/28, 9, 6, 22, 5, , 
2024/5/29, 9, 12, 30, 6, , 
2024/5/30, 18, 9, 26, 7, , 
2024/5/31, 11, 16, 25, 6, , 
2024/6/1, 35, 19, 33, 5, , 
2024/6/2, 37, 18, 34, 7, , 
2024/6/3, 35, 22, 38, 10, , 
2024/6/4, 41, 9, 33, 3, , 
2024/6/6, 52, 16, 44, 7, , 
2024/6/7, 39, 14, 37, 6, , 
2024/6/8, 34, 11, 35, 4, , 
2024/6/9, 19, 14, 27, 4, , 
2024/6/10, 23, 11, 30, 7, , 
2024/6/11, 24, 12, 27, 8, , 
2024/6/12, 29, 14, , 8, , 
2024/6/13, 31, 10, 31, 3, , 
2024/6/14, 12, 11, 28, 2, , 
2024/6/15, 20, 6, 24, 2, , 
2024/6/16, 13, 10, 25, 4, , 
2024/6/17, 16, 10, 27, 10, , 
2024/6/18, 17, 11, 27, 6, , 
2024/6/19, 16, 14, 25, 8, , 
2024/6/20, 37, 19, 39, 9, , 
2024/6/21, 51, 10, 30, 3, , 
2024/6/22, 18, 12, 37, 5, , 
2024/6/23, 25, 15, 15, 11, , 
2024/6/24, 37, , , , , 
2024/6/27, 66, 19, , , , 
2024/6/28, 30, 18, 23, 4, , 
2024/6/29, 27, 20, 37, 3, , 
2024/6/30, 36, 12, 27, 4, , 
2024/1/1, 12, , , 4, , 
2024/1/2, 10, 9, 32, 5, , 
2024/1/3, 22, 15, 27, 7, , 
2024/1/4, 25, 10, 29, 10, , 
2024/1/5, 21, 11, 16, 14, , 
2024/1/6, 36, 13, 19, 9, , 
2024/1/7, 44, 15, 23, 10, , 
2024/1/8, 50, 19, 10, 11, , 
2024/1/9, 59, 26, 9, 15, , 
2024/1/10, 74, 37, 7, 19, , 
2024/1/11, 91, 24, 14, 16, , 
2024/1/12, 67, 22, 13, 17, , 
2024/1/13, 74, 28, 13, 18, , 
2024/1/14, 84, 18, 18, 19, , 
2024/1/15, 46, 42, 16, 33, , 
2024/1/16, 97, 15, 16, 17, , 
2024/1/17, 54, 21, 22, 18, , 
2024/1/18, 66, 30, 15, 25, , 
2024/1/19, 82, 22, 18, 18, , 
2024/1/20, 66, 14, 22, 9, , 
2024/1/21, 40, 11, 27, 6, , 
2024/1/22, 20, 19, 24, 9, , 
2024/1/23, 31, 15, 27, 8, , 
2024/1/24, 32, 14, 22, 13, , 
2024/1/25, 21, 16, 24, 13, , 
2024/1/26, 31, 32, 18, 26, , 
2024/1/27, 71, 21, 8, 17, , 
2024/1/28, 57, 22, 13, 20, , 
2024/1/29, 54, 19, 19, 19, , 
